ID,date_cer,kwh
2570,42942,3.411475443
2570,42943,3.19097519
2570,42944,3.400425316
2570,42945,3.069423797
2570,42946,3.218600506
2570,42947,0.38022481
2570,42948,0.055250633
2570,43001,0.043731266
2570,43002,0.055292405
2570,43003,0.060821646
2570,43004,0.055292405
2570,43005,0.043731266
2570,43006,0.055292405
2570,43007,0.060821646
2570,43008,0.044233924
2570,43009,0.054789747
2570,43010,0.055292405
2570,43011,2.536916076
2570,43012,5.002454684
2570,43013,4.462097089
2570,43014,3.540724557
2570,43015,3.414054684
2570,43016,3.154683038
2570,43017,0.496123671
2570,43018,0.055292405
2570,43019,0.049763165
2570,43020,0.054789747
2570,43021,0.055292405
2570,43022,0.044233924
2570,43023,0.060821646
2570,43024,0.054789747
2570,43025,0.055292405
2570,43026,0.044233924
2570,43027,0.060318987
2570,43028,0.055292405
2570,43029,0.055292405
2570,43030,0.044233924
2570,43031,0.060318987
2570,43032,0.055292405
2570,43033,0.055292405
2570,43034,4.577708481
2570,43035,5.487519873
2570,43036,3.993116962
2570,43037,3.568370759
2570,43038,3.540724557
2570,43039,3.612604684
2570,43040,3.469347089
2570,43041,3.132566076
2570,43042,3.425113165
2570,43043,3.055156709
2570,43044,3.369820759
2570,43045,3.232092405
2570,43046,3.060685949
2570,43047,0.524272532
2570,43048,0.044233924
2570,43101,0.054720759
2570,43102,0.055222785
2570,43103,0.049700506
2570,43104,0.055222785
2570,43105,0.054720759
2570,43106,0.044178228
2570,43107,0.060745063
2570,43108,0.054720759
2570,43109,0.044178228
2570,43110,0.055222785
2570,43111,2.544766329
2570,43112,5.48061038
2570,43113,3.982566835
2570,43114,3.635667342
2570,43115,3.398711392
2570,43116,3.492088101
2570,43117,0.435255949
2570,43118,0.060745063
2570,43119,0.044178228
2570,43120,0.054720759
2570,43121,0.055222785
2570,43122,0.049700506
2570,43123,0.054720759
2570,43124,0.055222785
2570,43125,0.044178228
2570,43126,0.060745063
2570,43127,0.054720759
2570,43128,0.055222785
2570,43129,0.044178228
2570,43130,0.060745063
2570,43131,0.054720759
2570,43132,0.055222785
2570,43133,0.044178228
2570,43134,4.996155949
